Source,X,Y
0,31.885520,118.604010
1,32.028601,118.712952
2,32.108939,119.004805
3,31.742981,118.709025
4,32.032410,118.912356
5,32.206568,119.220686
6,32.059960,118.819541
7,32.136798,118.838901
8,32.134412,118.837974
9,32.133267,118.841064
10,31.419242,119.036844
11,32.108626,118.834477
12,31.640008,118.805935
13,31.640234,118.803566
14,31.640255,118.804455
15,31.640280,118.805440
16,31.640285,118.804202
17,31.640347,118.805230
18,31.640352,118.803836
19,31.640428,118.803295
20,31.640960,118.802797
21,31.641646,118.802082
22,31.642260,118.801175
23,31.642526,118.800640
24,31.642981,118.800177
25,31.643144,118.800183
26,31.643298,118.800363
27,31.643579,118.800610
28,31.643820,118.800958
29,31.644264,118.801319
30,31.644423,118.801487
31,31.644945,118.800982
32,31.645400,118.800754
33,31.646295,118.800231
34,31.647072,118.799817
35,32.024982,118.636878
36,32.366332,118.835023
37,32.131087,118.842202
38,32.134963,118.840017
39,32.135648,118.839562
40,32.134158,118.840506
41,31.936339,118.642399
42,32.113555,118.833322
43,32.109594,118.834049
44,32.366672,118.819559
45,32.109866,118.833945
46,32.110478,118.833812
47,32.137506,118.838537
48,31.843570,118.833074
49,32.093350,118.781097
50,32.255288,118.731768
51,32.110524,118.821984
52,32.102861,119.021523
53,32.102382,119.021537
54,32.101974,119.021381
55,32.101434,119.021176
56,32.100955,119.021219
57,32.100571,119.021544
58,32.129114,118.821301
59,32.099593,119.022195
60,32.099336,119.022344
61,32.099066,119.022351
62,32.098454,119.022103
63,32.098040,119.022019
64,32.097345,119.022181
65,32.123690,118.797923
66,32.096253,119.022479
67,32.095594,119.022663
68,32.095192,119.022910
69,32.094688,119.023215
70,32.128733,118.803427
71,32.093483,119.023505
72,32.092829,119.023328
73,32.092050,119.023363
74,32.091653,119.023396
75,31.914897,118.417762
76,32.131358,118.846085
77,32.089048,119.023618
78,32.129005,118.818780
79,32.128706,118.809897
80,32.156666,119.021139
81,32.073475,118.775073
82,32.112342,118.822014
83,32.137295,118.816998
84,32.026764,118.710114
85,31.424566,119.035149
86,32.024540,118.713425
87,32.024662,118.716081
88,32.020492,118.732225
89,32.023674,118.719606
90,32.021270,118.730474
91,32.125630,118.719938
92,32.125541,118.720034
93,32.208479,118.707365
94,32.103316,118.821280
95,32.127415,118.801592
96,32.068696,118.725505
97,32.067326,118.725399
98,32.136592,118.818211
99,32.066104,118.725324
100,32.022826,118.736767
101,32.065560,118.725813
102,32.066003,118.726375
103,32.066191,118.726698
104,32.066402,118.727254
105,32.066492,118.725742
106,32.063828,118.725426
107,32.063448,118.725347
108,32.128956,118.816059
109,32.130404,118.843435
110,32.069479,118.725757
111,32.068953,118.725701
112,32.068295,118.725628
113,32.065253,118.725430
114,32.064199,118.725351
115,32.063799,118.725316
116,32.128933,118.816817
117,32.112749,118.841600
118,32.133443,118.817336
119,32.107496,118.841278
120,32.128733,118.814038
121,32.147716,118.812986
122,32.128569,118.812107
123,32.128569,118.811130
124,32.105733,118.838703
125,32.121591,118.794232
126,32.136513,118.821175
127,32.137518,118.820067
128,32.106790,118.831110
129,31.424342,119.033952
130,31.587262,119.026561
131,32.121773,118.796528
132,31.962460,118.671860
133,32.128841,118.840418
134,32.215512,119.192353
135,32.156781,119.024827
136,32.123163,118.797430
137,32.210453,118.739560
138,32.210141,118.732082
139,32.133557,118.826537
140,32.208737,118.713475
141,32.125371,118.799436
142,32.208502,118.698651
143,32.209895,118.718949
144,32.210361,118.733624
145,32.127179,118.801260
